fee,9946113,8240,58,173
fef,9954285,8423,15,33
feg,9801606,8074,97,161
ffa,9754468,10266,92,381
ffb,9858227,7992,212,343
ffc,9877376,8997,155,256
ffd,9871537,10125,5,8
ffe,9634104,8154,61,111
fff,9793887,9189,120,210
ffg,9919116,8284,138,226
fga,9428220,9735,343,758
fgb,9994032,9655,335,509
fgc,9980269,8223,192,271
fgd,9889041,9457,13,38
fge,9639526,9337,157,249
fgf,9984744,7170,26,62
fgg,9930001,7855,156,270
gaa,9901120,9417,374,599
gab,9592241,12114,86,261
gac,9967852,9375,12,32
gad,9592628,8640,143,340
gae,9971266,9096,106,189
gaf,9867197,10224,23,59
gag,9847535,6848,6,12
gba,9961742,8146,194,340
gbb,9716089,8666,160,241
gbc,9847770,8963,147,291
gbd,9703751,8770,201,337
gbe,9688932,9995,12,47
gbf,9481984,8530,49,156
gbg,9988869,7722,5,9
gca,9840782,10399,104,189
gcb,9460651,7385,16,44
gcc,9898764,8915,109,237
gcd,9917766,9453,189,341
gce,9747611,8645,64,129
gcf,9939020,7861,54,104
gcg,9333027,10437,139,255
gda,9913911,10271,521,1064
gdb,9854388,7860,40,130
gdc,9963478,7913,63,138
gdd,9777553,7215,42,80
gde,9939279,9549,104,188
gdf,9959871,10309,100,193
gdg,9866276,9417,108,261
gea,9615430,8160,403,645
geb,9710650,8132,95,270
gec,9522866,9921,5,9
ged,9919574,8294,276,417
gee,9954379,7934,96,134
gef,9477593,10221,89,273
geg,9947518,8534,55,116
gfa,9947499,8256,17,66
gfb,9983220,10794,71,138
gfc,9991895,9212,165,244
gfd,9005775,9935,179,307
gfe,9968235,7123,59,88
gff,9932574,9221,198,479
gfg,9960899,9264,252,383
gga,9937159,8876,327,526
ggb,9804929,8786,80,134
ggc,9793574,6397,168,256
ggd,9830961,8706,37,212
gge,9916710,9600,455,894
ggf,9932903,8082,106,212
ggg,9731125,9692,147,227
